id,collection,language_focus,category,subgenre,variation,variation_label,groove_level,bpm,key,energy,style_prompt,exclude,lyrics_direction,tags,source_basis
ROCK-V02-003-3,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,swagger blues-groove rock,raw_live,Raw/live version,9,108,A major,9,"Raw live-band swagger blues-groove rock, no click-perfect feel. The drummer should breathe around the groove: shuffle-influenced 4/4, lazy snare pocket, swinging 16ths. Guitars: tube-amp blues riffs, slide guitar fills, short call-and-response licks. Bass/drums: walking bass fragments with kick-snare lock, live room drums. Vocal performance: smoky raspy lead vocal, loose backing shouts. Keep the mix vintage console warmth, spring reverb, tape slapback, with human imperfections, small timing pushes, and real amp grit. BPM: 108, Key: A major.","metal double-kick, EDM bass, clean corporate pop, Japanese vocals","Lyrics: barroom confidence, night driving, sly humor, compact verse storytelling.",swagger rock; blues rock; groove; vintage,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-003-4,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,swagger blues-groove rock,hook_focused,Hook-focused version,9,111,E major,9,"Hook-focused swagger blues-groove rock with a strong guitar or bass motif in the first five seconds. Build around shuffle-influenced 4/4, lazy snare pocket, swinging 16ths; make tube-amp blues riffs, slide guitar fills, short call-and-response licks answer the vocal line. walking bass fragments with kick-snare lock, live room drums. Vocal: smoky raspy lead vocal, loose backing shouts. Production: vintage console warmth, spring reverb, tape slapback. Add a short instrumental break after the second chorus. BPM: 111, Key: E major.","metal double-kick, EDM bass, clean corporate pop, Japanese vocals","Lyrics: barroom confidence, night driving, sly humor, compact verse storytelling.",swagger rock; blues rock; groove; vintage,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-004-1,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,heavy dance-rock,single_style,Style prompt only,9,122,A minor,9,"Create a heavy dance-rock track with four-on-floor kick with live rock snare, danceable hi-hat pulse. Use scratchy funk-rock guitars plus distorted chorus power chords; driving octave bass, tight kick, tambourine accents. Lead vocal: urgent shouted-sung vocal with gang hooks. Production: club-sized rock mix, dry verses, explosive chorus reverb. BPM: 122, Key: A minor. Make the chorus memorable without becoming generic pop.","house piano, EDM drop, trap drums, overly electronic lead synth","Lyrics: night city, movement, pressure, release; chorus should be simple and physical.",dance-rock; rock groove; four-on-floor; guitar-driven,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-004-2,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,heavy dance-rock,detailed_arrangement,Detailed arrangement,9,126,D minor,9,"Create a heavy dance-rock song. Intro: establish the groove with drums and bass first. Verse: scratchy funk-rock guitars plus distorted chorus power chords in a restrained pattern. Pre-chorus: add tension with rising dynamics. Chorus: open into a bigger guitar hook while the rhythm stays four-on-floor kick with live rock snare, danceable hi-hat pulse. Bridge: strip down to bass/drums, then rebuild into the final chorus. Vocal: urgent shouted-sung vocal with gang hooks. Production: club-sized rock mix, dry verses, explosive chorus reverb. BPM: 126, Key: D minor.","house piano, EDM drop, trap drums, overly electronic lead synth","Lyrics: night city, movement, pressure, release; chorus should be simple and physical.",dance-rock; rock groove; four-on-floor; guitar-driven,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-004-3,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,heavy dance-rock,raw_live,Raw/live version,9,130,E minor,9,"Raw live-band heavy dance-rock, no click-perfect feel. The drummer should breathe around the groove: four-on-floor kick with live rock snare, danceable hi-hat pulse. Guitars: scratchy funk-rock guitars plus distorted chorus power chords. Bass/drums: driving octave bass, tight kick, tambourine accents. Vocal performance: urgent shouted-sung vocal with gang hooks. Keep the mix club-sized rock mix, dry verses, explosive chorus reverb, with human imperfections, small timing pushes, and real amp grit. BPM: 130, Key: E minor.","house piano, EDM drop, trap drums, overly electronic lead synth","Lyrics: night city, movement, pressure, release; chorus should be simple and physical.",dance-rock; rock groove; four-on-floor; guitar-driven,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-004-4,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,heavy dance-rock,hook_focused,Hook-focused version,9,132,A minor,9,"Hook-focused heavy dance-rock with a strong guitar or bass motif in the first five seconds. Build around four-on-floor kick with live rock snare, danceable hi-hat pulse; make scratchy funk-rock guitars plus distorted chorus power chords answer the vocal line. driving octave bass, tight kick, tambourine accents. Vocal: urgent shouted-sung vocal with gang hooks. Production: club-sized rock mix, dry verses, explosive chorus reverb. Add a short instrumental break after the second chorus. BPM: 132, Key: A minor.","house piano, EDM drop, trap drums, overly electronic lead synth","Lyrics: night city, movement, pressure, release; chorus should be simple and physical.",dance-rock; rock groove; four-on-floor; guitar-driven,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-005-1,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,bassline-led alternative rock,single_style,Style prompt only,9,105,B minor,9,"Create a bassline-led alternative rock track with bass riff starts first, drums enter with locked mid-tempo groove. Use angular guitars answer the bass, chorus opens into wide distortion; melodic bass as hook, natural kit, tight tom accents. Lead vocal: detached verse vocal, bigger emotional chorus. Production: dark modern alt-rock mix, gritty low mids, controlled ambience. BPM: 105, Key: B minor. Make the chorus memorable without becoming generic pop.","bright pop-punk, synthwave lead, rap flow, Japanese vocals","Lyrics: alienation, city lights, inner argument; avoid melodrama, keep images concrete.",bass-forward; alternative rock; groove; dark,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-005-2,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,bassline-led alternative rock,detailed_arrangement,Detailed arrangement,9,111,C# minor,9,"Create a bassline-led alternative rock song. Intro: establish the groove with drums and bass first. Verse: angular guitars answer the bass, chorus opens into wide distortion in a restrained pattern. Pre-chorus: add tension with rising dynamics. Chorus: open into a bigger guitar hook while the rhythm stays bass riff starts first, drums enter with locked mid-tempo groove. Bridge: strip down to bass/drums, then rebuild into the final chorus. Vocal: detached verse vocal, bigger emotional chorus. Production: dark modern alt-rock mix, gritty low mids, controlled ambience. BPM: 111, Key: C# minor.","bright pop-punk, synthwave lead, rap flow, Japanese vocals","Lyrics: alienation, city lights, inner argument; avoid melodrama, keep images concrete.",bass-forward; alternative rock; groove; dark,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-005-3,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,bassline-led alternative rock,raw_live,Raw/live version,9,116,E minor,9,"Raw live-band bassline-led alternative rock, no click-perfect feel. The drummer should breathe around the groove: bass riff starts first, drums enter with locked mid-tempo groove. Guitars: angular guitars answer the bass, chorus opens into wide distortion. Bass/drums: melodic bass as hook, natural kit, tight tom accents. Vocal performance: detached verse vocal, bigger emotional chorus. Keep the mix dark modern alt-rock mix, gritty low mids, controlled ambience, with human imperfections, small timing pushes, and real amp grit. BPM: 116, Key: E minor.","bright pop-punk, synthwave lead, rap flow, Japanese vocals","Lyrics: alienation, city lights, inner argument; avoid melodrama, keep images concrete.",bass-forward; alternative rock; groove; dark,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-005-4,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,bassline-led alternative rock,hook_focused,Hook-focused version,9,119,B minor,9,"Hook-focused bassline-led alternative rock with a strong guitar or bass motif in the first five seconds. Build around bass riff starts first, drums enter with locked mid-tempo groove; make angular guitars answer the bass, chorus opens into wide distortion answer the vocal line. melodic bass as hook, natural kit, tight tom accents. Vocal: detached verse vocal, bigger emotional chorus. Production: dark modern alt-rock mix, gritty low mids, controlled ambience. Add a short instrumental break after the second chorus. BPM: 119, Key: B minor.","bright pop-punk, synthwave lead, rap flow, Japanese vocals","Lyrics: alienation, city lights, inner argument; avoid melodrama, keep images concrete.",bass-forward; alternative rock; groove; dark,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-006-1,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,minimal riff rock,single_style,Style prompt only,8,92,E minor,8,"Create a minimal riff rock track with repeating two-bar drum pocket with microscopic variations. Use one main guitar riff, sparse overdubs, muted verse texture; repetitive bass ostinato, dry kick/snare, few fills. Lead vocal: low intimate vocal, slowly intensifying. Production: dry minimal production, room tone, saturation only on choruses. BPM: 92, Key: E minor. Make the chorus memorable without becoming generic pop.","busy prog solos, orchestral pads, EDM risers, polished pop harmonies","Lyrics: mantra-like repetitions, simple images, increasing urgency.",minimal; riff-based; hypnotic rock; groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-006-2,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,minimal riff rock,detailed_arrangement,Detailed arrangement,8,98,A minor,8,"Create a minimal riff rock song. Intro: establish the groove with drums and bass first. Verse: one main guitar riff, sparse overdubs, muted verse texture in a restrained pattern. Pre-chorus: add tension with rising dynamics. Chorus: open into a bigger guitar hook while the rhythm stays repeating two-bar drum pocket with microscopic variations. Bridge: strip down to bass/drums, then rebuild into the final chorus. Vocal: low intimate vocal, slowly intensifying. Production: dry minimal production, room tone, saturation only on choruses. BPM: 98, Key: A minor.","busy prog solos, orchestral pads, EDM risers, polished pop harmonies","Lyrics: mantra-like repetitions, simple images, increasing urgency.",minimal; riff-based; hypnotic rock; groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-006-3,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,minimal riff rock,raw_live,Raw/live version,8,102,D minor,8,"Raw live-band minimal riff rock, no click-perfect feel. The drummer should breathe around the groove: repeating two-bar drum pocket with microscopic variations. Guitars: one main guitar riff, sparse overdubs, muted verse texture. Bass/drums: repetitive bass ostinato, dry kick/snare, few fills. Vocal performance: low intimate vocal, slowly intensifying. Keep the mix dry minimal production, room tone, saturation only on choruses, with human imperfections, small timing pushes, and real amp grit. BPM: 102, Key: D minor.","busy prog solos, orchestral pads, EDM risers, polished pop harmonies","Lyrics: mantra-like repetitions, simple images, increasing urgency.",minimal; riff-based; hypnotic rock; groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-006-4,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,minimal riff rock,hook_focused,Hook-focused version,8,106,E minor,8,"Hook-focused minimal riff rock with a strong guitar or bass motif in the first five seconds. Build around repeating two-bar drum pocket with microscopic variations; make one main guitar riff, sparse overdubs, muted verse texture answer the vocal line. repetitive bass ostinato, dry kick/snare, few fills. Vocal: low intimate vocal, slowly intensifying. Production: dry minimal production, room tone, saturation only on choruses. Add a short instrumental break after the second chorus. BPM: 106, Key: E minor.","busy prog solos, orchestral pads, EDM risers, polished pop harmonies","Lyrics: mantra-like repetitions, simple images, increasing urgency.",minimal; riff-based; hypnotic rock; groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-007-1,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,riff-heavy modern rock,single_style,Style prompt only,8,118,F minor,8,"Create a riff-heavy modern rock track with driving 4/4 with half-time bridge, big tom fills only at transitions. Use thick drop-D riffs, octave hooks, controlled feedback; subtle bass distortion, punchy modern drums, powerful downbeat. Lead vocal: powerful but not theatrical vocal, grit on high notes. Production: big modern rock mix, clear low end, layered rhythm guitars. BPM: 118, Key: F minor. Make the chorus memorable without becoming generic pop.","nu-metal rap, EDM drop, Japanese vocals, overly glossy pop vocal stacks","Lyrics: endurance, conflict, motion; chorus should be anthem-like but not cheesy.",modern rock; riff rock; heavy groove; overseas,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-007-2,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,riff-heavy modern rock,detailed_arrangement,Detailed arrangement,8,126,E minor,8,"Create a riff-heavy modern rock song. Intro: establish the groove with drums and bass first. Verse: thick drop-D riffs, octave hooks, controlled feedback in a restrained pattern. Pre-chorus: add tension with rising dynamics. Chorus: open into a bigger guitar hook while the rhythm stays driving 4/4 with half-time bridge, big tom fills only at transitions. Bridge: strip down to bass/drums, then rebuild into the final chorus. Vocal: powerful but not theatrical vocal, grit on high notes. Production: big modern rock mix, clear low end, layered rhythm guitars. BPM: 126, Key: E minor.","nu-metal rap, EDM drop, Japanese vocals, overly glossy pop vocal stacks","Lyrics: endurance, conflict, motion; chorus should be anthem-like but not cheesy.",modern rock; riff rock; heavy groove; overseas,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-007-3,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,riff-heavy modern rock,raw_live,Raw/live version,8,132,Drop D,8,"Raw live-band riff-heavy modern rock, no click-perfect feel. The drummer should breathe around the groove: driving 4/4 with half-time bridge, big tom fills only at transitions. Guitars: thick drop-D riffs, octave hooks, controlled feedback. Bass/drums: subtle bass distortion, punchy modern drums, powerful downbeat. Vocal performance: powerful but not theatrical vocal, grit on high notes. Keep the mix big modern rock mix, clear low end, layered rhythm guitars, with human imperfections, small timing pushes, and real amp grit. BPM: 132, Key: Drop D.","nu-metal rap, EDM drop, Japanese vocals, overly glossy pop vocal stacks","Lyrics: endurance, conflict, motion; chorus should be anthem-like but not cheesy.",modern rock; riff rock; heavy groove; overseas,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-007-4,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,riff-heavy modern rock,hook_focused,Hook-focused version,8,136,F minor,8,"Hook-focused riff-heavy modern rock with a strong guitar or bass motif in the first five seconds. Build around driving 4/4 with half-time bridge, big tom fills only at transitions; make thick drop-D riffs, octave hooks, controlled feedback answer the vocal line. subtle bass distortion, punchy modern drums, powerful downbeat. Vocal: powerful but not theatrical vocal, grit on high notes. Production: big modern rock mix, clear low end, layered rhythm guitars. Add a short instrumental break after the second chorus. BPM: 136, Key: F minor.","nu-metal rap, EDM drop, Japanese vocals, overly glossy pop vocal stacks","Lyrics: endurance, conflict, motion; chorus should be anthem-like but not cheesy.",modern rock; riff rock; heavy groove; overseas,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-008-1,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,rolling road rock,single_style,Style prompt only,8,108,G major,8,"Create a rolling road rock track with rolling eighth-note drive, steady highway pulse. Use open chords with grit, melodic lead fills, occasional slide; round bass, natural drums, shaker in chorus. Lead vocal: weathered male or female vocal, conversational phrasing. Production: wide open road mix, warm amps, understated reverb. BPM: 108, Key: G major. Make the chorus memorable without becoming generic pop.","stadium crowd noise, EDM, trap hats, Japanese vocals","Lyrics: highways, distance, memory, practical hope; chorus should feel like motion.",road rock; driving; heartland edge; groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-008-2,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,rolling road rock,detailed_arrangement,Detailed arrangement,8,114,D major,8,"Create a rolling road rock song. Intro: establish the groove with drums and bass first. Verse: open chords with grit, melodic lead fills, occasional slide in a restrained pattern. Pre-chorus: add tension with rising dynamics. Chorus: open into a bigger guitar hook while the rhythm stays rolling eighth-note drive, steady highway pulse. Bridge: strip down to bass/drums, then rebuild into the final chorus. Vocal: weathered male or female vocal, conversational phrasing. Production: wide open road mix, warm amps, understated reverb. BPM: 114, Key: D major.","stadium crowd noise, EDM, trap hats, Japanese vocals","Lyrics: highways, distance, memory, practical hope; chorus should feel like motion.",road rock; driving; heartland edge; groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-008-3,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,rolling road rock,raw_live,Raw/live version,8,118,A major,8,"Raw live-band rolling road rock, no click-perfect feel. The drummer should breathe around the groove: rolling eighth-note drive, steady highway pulse. Guitars: open chords with grit, melodic lead fills, occasional slide. Bass/drums: round bass, natural drums, shaker in chorus. Vocal performance: weathered male or female vocal, conversational phrasing. Keep the mix wide open road mix, warm amps, understated reverb, with human imperfections, small timing pushes, and real amp grit. BPM: 118, Key: A major.","stadium crowd noise, EDM, trap hats, Japanese vocals","Lyrics: highways, distance, memory, practical hope; chorus should feel like motion.",road rock; driving; heartland edge; groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-008-4,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,rolling road rock,hook_focused,Hook-focused version,8,122,G major,8,"Hook-focused rolling road rock with a strong guitar or bass motif in the first five seconds. Build around rolling eighth-note drive, steady highway pulse; make open chords with grit, melodic lead fills, occasional slide answer the vocal line. round bass, natural drums, shaker in chorus. Vocal: weathered male or female vocal, conversational phrasing. Production: wide open road mix, warm amps, understated reverb. Add a short instrumental break after the second chorus. BPM: 122, Key: G major.","stadium crowd noise, EDM, trap hats, Japanese vocals","Lyrics: highways, distance, memory, practical hope; chorus should feel like motion.",road rock; driving; heartland edge; groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-009-1,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Funk Rock / Funk Metal / Dance Punk,funk rock,single_style,Style prompt only,10,105,A Dorian,10,"Create a funk rock track with syncopated 16th-note groove, strong downbeat, ghost-note snare. Use chicken-scratch muted guitar, wah-wah accents, crunchy chorus chords; slap bass or fingerstyle funk bass, tight dry drums. Lead vocal: charismatic rhythmic vocal, call-and-response backing vocals. Production: dry funk-rock mix, crisp transients, short room reverb. BPM: 105, Key: A Dorian. Make the chorus memorable without becoming generic pop.","EDM drop, trap hats, orchestral strings, smooth jazz polish, Japanese vocals","Lyrics: playful tension, confidence, social electricity, repeated hook words.",funk rock; slap bass; groove; guitar stabs,original_derived_from_research; see sources-license-notes-V02-20260621.txt
